,FTNT
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,0.09333333333333327
Growth 1yr High Est,0.2592592592592593
Growth 1yr Consensus Est,0.17629629629629628
Growth 2yr Low Est,0.146260162601626
Growth 2yr High Est,0.224400871459695
Growth 2yr Consensus Est,0.1853305170306605
Growth 5yr Low Est,0.3270990126767092
Growth 5yr High Est,0.38659363961334264
Growth 5yr Consensus Est,0.356846326145026
Growth 5yr Actual/Est,0.35420099239810243
Growth 3yr Historic,0.27790551839464883
