,Industry,JCI,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",29.41,20.06,Valuation,0.6820809248554913
Price/Sales (TTM),2.03,0.89,Valuation,0.4384236453201971
Price/Book (MRQ),4.07,1.17,Valuation,0.2874692874692874
"PEG Ratio (TTM, GAAP)",1.46,1.23,Valuation,0.8424657534246576
Gross Profit Margin (TTM),0.3201,0.32549999999999996,Profitability,1.0168697282099344
Operating Profit Margin (TTM),0.1118,0.051100000000000007,Profitability,0.4570661896243292
Net Profit Margin (TTM),0.06849999999999999,0.055,Profitability,0.8029197080291972
Annual Dividend Yield,0.0169,0.0365,Dividend,2.1597633136094676
Dividend Change %,0.18710000000000002,0.0,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.1092,0.066,Dividend,0.6043956043956044
EPS Growth (MRQ),-1.0954000000000002,0.36950000000000005,Gowth rates,-0.3373197005660033
EPS Growth (TTM),-0.2009,-0.0007000000000000001,Gowth rates,0.0034843205574912896
Revenue Growth (MRQ),0.0053,-0.023700000000000002,Gowth rates,-4.471698113207547
Revenue Growth (TTM),0.0262,0.0016,Gowth rates,0.061068702290076333
Return On Equity (TTM),0.1125,0.059000000000000004,Effectiveness,0.5244444444444445
Return On Assets (TTM),-0.0951,0.0294,Effectiveness,-0.3091482649842271
Return On Investment (TTM),0.10980000000000001,0.040999999999999995,Effectiveness,0.3734061930783241
Revenue Per Employee (TTM),302464.0,228317.0,Effectiveness,0.754856776343631
Total Debt/Total Capital (MRQ),0.48869999999999997,0.27030000000000004,Financial strength,0.5531000613873543
Change in Debt/Total Capital Quarter over Quarter,0.015300000000000001,-0.0031,Financial strength,-0.2026143790849673
Quick Ratio (MRQ),1.29,0.83,Financial strength,0.6434108527131782
Interest Coverage (MRQ),8.78,12.12,Financial strength,1.3804100227790432
