,NTRS
% Above Low,0.2525
% Held by Institutions,0.8348
52-Wk Range,['60.67 - 110.48']
Annual Dividend $,2.8
Annual Dividend %,0.0379
Ask,77.05
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,72.19
Bid Size,100.0
Closing Price,75.99
Day Change $,2.05
Day Change %,0.0277
Day High,76.13
Day Low,74.42
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",6.7
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.459
Last (size),9.0
Last (time),4:00p ET 05/08/20
Market Cap,15.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.03
Prev Close,73.94
Short Interest,0.0305
Today's Open,75.55
Volume,1271926.0
Volume 10-day Avg,1060155.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.25303030303030305
Growth 1yr High Est,-0.15306122448979598
Growth 1yr Consensus Est,-0.2030457637600495
Growth 2yr Low Est,-0.20055166267133812
Growth 2yr High Est,-0.021453159577083825
Growth 2yr Consensus Est,-0.11100241112421097
Growth 5yr Low Est,-0.00031776759255860987
Growth 5yr High Est,0.09178451929789971
Growth 5yr Consensus Est,0.04573337585267055
Growth 5yr Actual/Est,0.05947511058632843
Growth 3yr Historic,0.10286223842739384
Price/Earnings (TTM),11.03475
Price/Sales (TTM),2.32725
Price/Book (MRQ),1.53914
Price/Cash Flow (TTM),8.03351
5yr Low,54.38
5yr High,115.61
5yr Avg Return,0.022883333333333325
EPS Growth 5yr,0.1483333
Revenue Growth 5yr,0.0837276
Dividend Growth 5yr,0.13865249999999998
Short Int Current Month,6326102.0
Short Int Prev Month,6048431.0
Short Int Pct of Float,0.030475
Days to Cover,4.02505
Float,206.7446
Shares Outstanding,208.052
Institutions Holding Shares,889.0
FCF Growth 5yr,0.106739459413785
"Price/Earnings (TTM, GAAP)",11.34
"PEG Ratio (TTM, GAAP)",4.68
Gross Profit Margin (TTM),0.9349
Operating Profit Margin (TTM),0.29550000000000004
Net Profit Margin (TTM),0.2278
Annual Dividend Yield,0.0368
Dividend Change %,0.3536
"Dividend Growth Rate, 3 Years",0.1883
EPS Growth (MRQ),-0.08779999999999999
EPS Growth (TTM),0.039
Revenue Growth (MRQ),0.0087
Revenue Growth (TTM),0.015700000000000002
Return On Equity (TTM),0.1449
Return On Assets (TTM),0.0106
Return On Investment (TTM),0.0815
Revenue Per Employee (TTM),333843.0
Total Debt/Total Capital (MRQ),0.9307
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,2
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,1
theStreet,hold
cfra,3
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-13 00:00:00
cfra since,2009-03-24 00:00:00
ford since,2020-02-07 00:00:00
creditSuisse since,2015-01-21 00:00:00
