,Industry,PAYC,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",50.93,80.98,Valuation,1.590025525230709
Price/Sales (TTM),13.62,20.42,Valuation,1.499265785609398
Price/Book (MRQ),15.07,26.13,Valuation,1.7339084273390841
"PEG Ratio (TTM, GAAP)",0.97,4.11,Valuation,4.237113402061856
Gross Profit Margin (TTM),0.7292000000000001,0.8584,Profitability,1.1771804717498628
Operating Profit Margin (TTM),0.1729,0.3243,Profitability,1.8756506651243492
Net Profit Margin (TTM),0.1386,0.2516,Profitability,1.8152958152958152
Annual Dividend Yield,0.0067,,Dividend,
Dividend Change %,0.0676,,Dividend,
"Dividend Growth Rate, 3 Years",0.0525,,Dividend,
EPS Growth (MRQ),0.31579999999999997,0.38689999999999997,Gowth rates,1.2251424952501584
EPS Growth (TTM),0.525,0.37070000000000003,Gowth rates,0.7060952380952381
Revenue Growth (MRQ),0.1893,0.2531,Gowth rates,1.3370311674590596
Revenue Growth (TTM),0.1872,0.27390000000000003,Gowth rates,1.4631410256410258
Return On Equity (TTM),0.19340000000000002,0.3932,Effectiveness,2.0330920372285415
Return On Assets (TTM),0.09519999999999999,0.0898,Effectiveness,0.9432773109243698
Return On Investment (TTM),0.10880000000000001,0.2823,Effectiveness,2.5946691176470584
Revenue Per Employee (TTM),639526.0,207197.0,Effectiveness,0.32398526408621386
Total Debt/Total Capital (MRQ),0.3725,0.051,Financial strength,0.13691275167785233
Change in Debt/Total Capital Quarter over Quarter,0.0,-0.0015,Financial strength,-inf
Quick Ratio (MRQ),1.41,1.1,Financial strength,0.7801418439716313
Interest Coverage (MRQ),43.45,,Financial strength,
