,PPG
Next Earnings Announcement,2020-07-27 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.3951612903225806
Growth 1yr High Est,-0.1793650793650794
Growth 1yr Consensus Est,-0.28726318484383
Growth 2yr Low Est,0.011752688172043058
Growth 2yr High Est,0.04668109668109666
Growth 2yr Consensus Est,0.029216892426569857
Growth 5yr Low Est,0.024507193306125524
Growth 5yr High Est,0.0354037762939593
Growth 5yr Consensus Est,0.029955484800042412
Growth 5yr Actual/Est,0.02891267179710738
Growth 3yr Historic,0.014798390809889927
