,RTX
Price/Earnings (TTM),12.35108
Price/Sales (TTM),1.15696
Price/Book (MRQ),1.28943
Price/Cash Flow (TTM),10.64363
5yr Low,48.05
5yr High,158.44
5yr Avg Return,-0.03623333333333333
EPS Growth 5yr,-0.0074722
Revenue Growth 5yr,0.0588009
Dividend Growth 5yr,0.044929699999999996
Short Int Current Month,20075460.0
Short Int Prev Month,9022949.0
Short Int Pct of Float,0.023205800000000002
Days to Cover,1.09333
Float,1514.594
Shares Outstanding,1516.269
Institutions Holding Shares,2319.0
% Held by Institutions,0.446111
FCF Growth 5yr,0.20519964191355783
