,TJX
% Above Low,0.4826
% Held by Institutions,0.9037000000000001
52-Wk Range,['32.72 - 64.95']
Annual Dividend $,0.92
Annual Dividend %,0.019
Ask,49.75
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,0.7
Bid,48.51
Bid Size,500.0
Closing Price,48.51
Day Change $,0.01
Day Change %,0.0002
Day High,49.42
Day Low,48.25
Dividend Pay Date,2020-03-05 00:00:00
"EPS (TTM, GAAP)",2.67
Ex-dividend,2020-02-12 00:00:00
Ex-dividend Date,02/12/20
Historical Volatility,0.457
Last (size),300.0
Last (time),6:30p ET 05/08/20
Market Cap,58.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.17
Prev Close,48.5
Shares Outstanding,1.2B
Short Interest,0.0102
Today's Open,49.19
Volume,5587076.0
Volume 10-day Avg,9456220.0
Volume Past Day,(Light)
